scenario,time,uav_id,from_state,to_state,reason
主场景-综合动态战场,1,UAV-05,Search,Track,进入目标识别阶段
主场景-综合动态战场,2,UAV-02,Search,Track,进入目标识别阶段
主场景-综合动态战场,4,UAV-01,Search,Track,进入目标识别阶段
主场景-综合动态战场,6,UAV-01,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,6,UAV-05,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,6,UAV-03,Search,Track,进入目标识别阶段
主场景-综合动态战场,7,UAV-01,Search,Track,进入目标识别阶段
主场景-综合动态战场,8,UAV-02,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,8,UAV-03,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,8,UAV-02,Search,Track,进入目标识别阶段
主场景-综合动态战场,9,UAV-05,Search,Track,进入目标识别阶段
主场景-综合动态战场,10,UAV-01,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,10,UAV-02,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,11,UAV-04,Search,Track,进入目标识别阶段
主场景-综合动态战场,12,UAV-02,Search,Track,进入目标识别阶段
主场景-综合动态战场,14,UAV-02,Track,Isolated,UAV-02 通信中断
主场景-综合动态战场,14,UAV-04,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,14,UAV-01,Search,Track,进入目标识别阶段
主场景-综合动态战场,14,UAV-02,Isolated,Track,进入目标识别阶段
主场景-综合动态战场,16,UAV-01,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,16,UAV-02,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,16,UAV-05,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,17,UAV-01,Search,Track,进入目标识别阶段
主场景-综合动态战场,17,UAV-05,Search,Track,进入目标识别阶段
主场景-综合动态战场,18,UAV-05,Track,Lost,UAV-05 战损退出
主场景-综合动态战场,19,UAV-03,Search,Track,进入目标识别阶段
主场景-综合动态战场,20,UAV-02,Search,Track,进入目标识别阶段
主场景-综合动态战场,22,UAV-01,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,22,UAV-02,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,22,UAV-03,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,23,UAV-02,Search,RTB,剩余航时不足，自动返航补给
主场景-综合动态战场,23,UAV-01,Search,Track,进入目标识别阶段
主场景-综合动态战场,24,UAV-04,Search,Track,进入目标识别阶段
主场景-综合动态战场,27,UAV-04,Track,RTB,UAV-04 低电量返航补给
主场景-综合动态战场,27,UAV-01,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,27,UAV-01,Search,RTB,剩余航时不足，自动返航补给
主场景-综合动态战场,27,UAV-03,Search,Track,进入目标识别阶段
主场景-综合动态战场,32,UAV-03,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,33,UAV-02,RTB,Resupply,到达补给点
主场景-综合动态战场,33,UAV-03,Search,Track,进入目标识别阶段
主场景-综合动态战场,35,UAV-02,Resupply,Search,补给完成后再入队
主场景-综合动态战场,35,UAV-04,RTB,Resupply,到达补给点
主场景-综合动态战场,35,UAV-03,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,37,UAV-04,Resupply,Search,补给完成后再入队
主场景-综合动态战场,38,UAV-01,RTB,Resupply,到达补给点
主场景-综合动态战场,40,UAV-01,Resupply,Search,补给完成后再入队
主场景-综合动态战场,45,UAV-03,Search,RTB,剩余航时不足，自动返航补给
主场景-综合动态战场,53,UAV-01,Search,Track,进入目标识别阶段
主场景-综合动态战场,55,UAV-02,Search,RTB,剩余航时不足，自动返航补给
主场景-综合动态战场,55,UAV-01,Track,Search,事件触发后滚动重规划
主场景-综合动态战场,56,UAV-04,Search,Track,进入目标识别阶段
主场景-综合动态战场,58,UAV-03,RTB,Resupply,到达补给点
主场景-综合动态战场,60,UAV-01,Search,Track,进入目标识别阶段
主场景-综合动态战场,60,UAV-03,Resupply,Search,补给完成后再入队
主场景-综合动态战场,60,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-通信受限,1,UAV-05,Search,Track,进入目标识别阶段
补充场景-通信受限,2,UAV-02,Search,Track,进入目标识别阶段
补充场景-通信受限,4,UAV-01,Search,Track,进入目标识别阶段
补充场景-通信受限,6,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-通信受限,6,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-通信受限,6,UAV-03,Search,Track,进入目标识别阶段
补充场景-通信受限,7,UAV-01,Search,Track,进入目标识别阶段
补充场景-通信受限,8,UAV-02,Track,Isolated,UAV-02 与 UAV-03 同时断链
补充场景-通信受限,8,UAV-03,Track,Isolated,UAV-02 与 UAV-03 同时断链
补充场景-通信受限,8,UAV-02,Isolated,Track,进入目标识别阶段
补充场景-通信受限,9,UAV-05,Search,Track,进入目标识别阶段
补充场景-通信受限,11,UAV-04,Search,Track,进入目标识别阶段
补充场景-通信受限,12,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-通信受限,12,UAV-02,Track,Search,事件触发后滚动重规划
补充场景-通信受限,12,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-通信受限,12,UAV-02,Search,Track,进入目标识别阶段
补充场景-通信受限,13,UAV-05,Search,Track,进入目标识别阶段
补充场景-通信受限,14,UAV-01,Search,Track,进入目标识别阶段
补充场景-通信受限,16,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-通信受限,16,UAV-02,Track,Search,事件触发后滚动重规划
补充场景-通信受限,16,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-通信受限,16,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-通信受限,17,UAV-01,Search,Track,进入目标识别阶段
