scenario,time,event,object_id,condition,decision,effect
主场景-综合动态战场,6,threat_up,-,前沿防空火力增强,局部规避并滚动重规划,"前沿防空火力增强，风险场在 (118.0, 165.0) 周围抬升"
主场景-综合动态战场,8,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
主场景-综合动态战场,10,new_targets,-,前沿新增侦察目标,新增任务加入候选池,新增 5 个任务目标
主场景-综合动态战场,14,comm_loss,UAV-02,UAV-02 通信中断,孤岛自治并保持局部任务,UAV-02 进入孤岛自治
主场景-综合动态战场,16,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
主场景-综合动态战场,18,uav_lost,UAV-05,UAV-05 战损退出,释放剩余任务并重新分配,UAV-05 战损退出
主场景-综合动态战场,22,remove_targets,-,已暴露目标转移,剔除失效目标后重规划,移除 3 个失效目标
主场景-综合动态战场,24,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
主场景-综合动态战场,27,low_battery,UAV-04,UAV-04 低电量返航补给,返航补给，补给后再入队,UAV-04 进入返航补给流程
主场景-综合动态战场,32,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
主场景-综合动态战场,34,new_targets,-,纵深区域发现新增目标,新增任务加入候选池,新增 4 个任务目标
主场景-综合动态战场,40,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
主场景-综合动态战场,42,threat_up,-,南侧威胁再度抬升,局部规避并滚动重规划,"南侧威胁再度抬升，风险场在 (150.0, 255.0) 周围抬升"
主场景-综合动态战场,48,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
主场景-综合动态战场,56,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-通信受限,6,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-通信受限,8,comm_loss,"UAV-02,UAV-03",UAV-02 与 UAV-03 同时断链,孤岛自治并保持局部任务,"UAV-02,UAV-03 进入孤岛自治"
补充场景-通信受限,12,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-通信受限,16,new_targets,-,通信受限下新增目标,新增任务加入候选池,新增 4 个任务目标
补充场景-通信受限,18,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-通信受限,24,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-通信受限,24,threat_up,-,断链区域威胁上升,局部规避并滚动重规划,"断链区域威胁上升，风险场在 (92.0, 120.0) 周围抬升"
补充场景-通信受限,30,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-通信受限,36,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-通信受限,36,remove_targets,-,一批目标丢失,剔除失效目标后重规划,移除 2 个失效目标
补充场景-通信受限,42,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-通信受限,48,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-通信受限,54,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-高威胁压制,5,threat_up,-,北部防空突增,局部规避并滚动重规划,"北部防空突增，风险场在 (85.0, 90.0) 周围抬升"
补充场景-高威胁压制,7,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-高威胁压制,12,threat_up,-,中部威胁外扩,局部规避并滚动重规划,"中部威胁外扩，风险场在 (135.0, 185.0) 周围抬升"
补充场景-高威胁压制,14,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-高威胁压制,20,new_targets,-,高威胁区发现高价值目标,新增任务加入候选池,新增 3 个任务目标
补充场景-高威胁压制,21,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-高威胁压制,28,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-高威胁压制,28,low_battery,UAV-03,UAV-03 紧急返航,返航补给，补给后再入队,UAV-03 进入返航补给流程
补充场景-高威胁压制,35,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-高威胁压制,38,threat_up,-,南部压制火力形成,局部规避并滚动重规划,"南部压制火力形成，风险场在 (175.0, 285.0) 周围抬升"
补充场景-高威胁压制,42,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-高威胁压制,49,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-高威胁压制,56,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-战损补给联动,8,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-战损补给联动,9,uav_lost,UAV-03,UAV-03 战损退出,释放剩余任务并重新分配,UAV-03 战损退出
补充场景-战损补给联动,14,new_targets,-,战损后新增侦察目标,新增任务加入候选池,新增 4 个任务目标
补充场景-战损补给联动,16,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-战损补给联动,21,low_battery,UAV-05,UAV-05 返航补给,返航补给，补给后再入队,UAV-05 进入返航补给流程
补充场景-战损补给联动,24,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-战损补给联动,30,comm_loss,UAV-04,UAV-04 短时失联,孤岛自治并保持局部任务,UAV-04 进入孤岛自治
补充场景-战损补给联动,32,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-战损补给联动,40,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-战损补给联动,40,new_targets,-,补给后重新发现目标,新增任务加入候选池,新增 3 个任务目标
补充场景-战损补给联动,46,remove_targets,-,部分目标失效,剔除失效目标后重规划,移除 2 个失效目标
补充场景-战损补给联动,48,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-战损补给联动,56,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
补充场景-战损补给联动,64,sync,-,周期同步到时,执行滚动重规划,同步剩余任务与风险场
